climb_name,climb_url,length,steepness,top,km_before_finnish,race_name
Ashton,location/ashton,10.0,4.3,572,132,tour-down-under
Gemmell Hill,location/gemmell-hill,4.1,3.8,239,48,tour-down-under
Windy Point,location/windy-point,3.8,5.6,311,124,tour-down-under
Willunga Hill,location/willunga-hill,3.4,7.2,370,23,tour-down-under
Willunga Hill,location/willunga-hill,3.4,7.2,370,0,tour-down-under
Tea Tree Gully Hill,location/tea-tree-gully-hill,1.9,6.2,389,143,tour-down-under
Fox Creek,location/fox-creek-road,1.6,7.7,509,78,tour-down-under
Fox Creek,location/fox-creek-road,1.6,7.7,509,43,tour-down-under
Mount Lofty,location/mount-lofty,1.6,6.5,658,59,tour-down-under
Mount Lofty,location/mount-lofty,1.6,6.5,658,30,tour-down-under
Whispering Wall,location/whispering-wall,1.4,2.5,267,111,tour-down-under
Menglers Hill,location/mengler-hill,1.0,5.2,490,112,tour-down-under
Menglers Hill,location/mengler-hill,1.0,5.2,490,63,tour-down-under
Menglers Hill,location/mengler-hill,1.0,5.2,490,13,tour-down-under
Challambra Crescent,location/challambra-crescent,1.2,8.1,118,59,great-ocean-road-race
Challambra Crescent,location/challambra-crescent,1.2,8.1,118,42,great-ocean-road-race
Challambra Crescent,location/challambra-crescent,1.2,8.1,118,26,great-ocean-road-race
Jebel Jais,location/jebel-jais,19.0,5.6,1489,0,uae-tour
Jebel Hafeet,location/jebel-hafeet,10.9,6.7,1029,0,uae-tour
Elverenberg - Vossenhol,location/elverenberg,1.4,3.7,87,27,omloop-het-nieuwsblad
Hostellerie,location/hostellerie,1.2,4.3,83,72,omloop-het-nieuwsblad
Muur - Kapelmuur,location/muur-van-geraardsbergen,1.2,7.0,105,16,omloop-het-nieuwsblad
Leberg,location/leberg,1.0,4.0,95,163,omloop-het-nieuwsblad
Leberg,location/leberg,1.0,4.0,0,89,omloop-het-nieuwsblad
Leberg,location/leberg,1.0,4.0,95,34,omloop-het-nieuwsblad
Kattenberg,location/katteberg,0.9,4.0,48,98,omloop-het-nieuwsblad
Berendries,location/berendries,0.9,6.6,90,30,omloop-het-nieuwsblad
Bosberg,location/bosberg,0.8,6.2,100,12,omloop-het-nieuwsblad
Wolvenberg,location/wolvenberg,0.6,6.4,87,54,omloop-het-nieuwsblad
Valkenberg,location/valkenberg,0.5,7.4,83,64,omloop-het-nieuwsblad
Molenberg,location/molenberg,0.5,7.0,56,41,omloop-het-nieuwsblad
La Madone d'Utelle,location/la-madone-d-utelle,15.1,5.7,1166,0,paris-nice
Col de Luens,location/col-de-luens,7.0,4.6,1057,111,paris-nice
Col des Lèques,location/col-des-leques,6.7,5.0,1145,128,paris-nice
Côte de Peille,location/cote-de-peille,6.5,6.9,646,41,paris-nice
Côte de Berre-les-Alpes,location/col-de-berre-les-alpes,6.5,5.9,598,58,paris-nice
Col de Gourdon,location/col-de-gourdon,6.3,4.2,745,58,paris-nice
Côte de Levens,location/cote-de-levens,6.1,5.8,470,88,paris-nice
Côte de Châteauneuf,location/cote-de-chateauneuf,5.5,4.5,622,72,paris-nice
Col de Peyruergue,location/col-de-peyruergue,5.4,4.5,787,75,paris-nice
Col du Fût d'Avenas - Les Chappes,location/col-du-fut-d-avenas,5.2,7.2,682,22,paris-nice
Côte de Gattières,location/cote-de-gattieres,4.6,4.7,261,94,paris-nice
Col de Boubon,location/col-de-boubon,4.5,6.1,644,94,paris-nice
Col des Quatre-Chemins,location/col-des-quatre-chemins,3.8,8.1,328,9,paris-nice
Côte de Vauxrenard,location/cote-de-vauxrenard,3.2,6.7,524,79,paris-nice
Côte du Mont-Saint-Vincent ,location/cote-du-mont-saint-vincent,3.1,6.4,594,150,paris-nice
Mont Brouilly,location/mont-brouilly,3.0,7.6,475,0,paris-nice
Mont Brouilly,location/mont-brouilly,3.0,7.6,475,39,paris-nice
Côte de la Blachette,location/cote-de-la-blachette,2.9,5.2,1101,106,paris-nice
Col de la Pigière,location/col-de-la-pigiere,2.7,4.6,968,47,paris-nice
Col de la Sausse,location/col-de-la-sausse,2.7,5.1,790,111,paris-nice
Côte d'Herbeville,location/cote-d-herbeville,2.6,5.0,175,12,paris-nice
Côte d'Herbeville,location/cote-d-herbeville,2.6,5.0,175,67,paris-nice
Col de Durbize,location/col-de-durbize,2.3,8.6,537,56,paris-nice
Côte de La Rochette-du-Buis,location/cote-de-la-rochette-du-buis,2.3,5.4,739,65,paris-nice
Côte de La Colle-sur-Loup,location/cote-de-la-colle-sur-loup,1.8,10.1,269,28,paris-nice
Côte de Bazemont,location/cote-de-bazemont,1.8,6.5,154,147,paris-nice
Côte de Bazemont,location/cote-de-bazemont,1.8,6.5,154,38,paris-nice
Côte des Mesnuls,location/cote-des-mesnuls,1.2,5.0,179,165,paris-nice
Côte de Villeconin,location/cote-de-villeconin,0.8,7.0,146,111,paris-nice
Valico di Castelluccio,location/valico-di-castelluccio,17.2,5.0,1510,138,tirreno-adriatico
San Giacomo,location/san-giacomo,11.9,6.2,1156,24,tirreno-adriatico
Castellina Marittima,location/castellina-marittima,11.8,3.0,379,103,tirreno-adriatico
Monte Petrano,location/monte-petrano,10.2,7.9,1091,0,tirreno-adriatico
Castellalto,location/castellalto,7.7,4.5,462,89,tirreno-adriatico
La Forchetta,location/la-forchetta,7.2,4.5,776,113,tirreno-adriatico
Casacastalda,location/casacastalda,7.0,3.2,516,16,tirreno-adriatico
Montedinove,location/montedinove,3.9,5.2,508,111,tirreno-adriatico
Moria,location/moria,2.4,8.6,592,26,tirreno-adriatico
Cipressa,location/cipressa,5.6,4.0,237,22,milano-sanremo
Poggio di San Remo,location/poggio-di-san-remo,3.6,3.7,164,6,milano-sanremo
Passo del Turchino,location/passo-del-turchino,2.4,5.8,549,150,milano-sanremo
Capo Melo,location/capo-mele,2.0,3.6,75,52,milano-sanremo
