race_name,is_one_day_race,category
tour-down-under,True,41.481 km/h
great-ocean-road-race,True,40.587 km/h
uae-tour,True,44.217 km/h
omloop-het-nieuwsblad,True,44.691 km/h
strade-bianche,True,40.344 km/h
paris-nice,True,38.565 km/h
tirreno-adriatico,True,47.179 km/h
milano-sanremo,True,46.11 km/h
volta-a-catalunya,True,44.62 km/h
classic-brugge-de-panne,True,45.486 km/h
e3-harelbeke,True,44.571 km/h
gent-wevelgem,True,45.196 km/h
dwars-door-vlaanderen,True,45.678 km/h
ronde-van-vlaanderen,True,44.481 km/h
itzulia-basque-country,True,38.063 km/h
paris-roubaix,True,47.802 km/h
amstel-gold-race,True,42.469 km/h
la-fleche-wallone,True,42.496 km/h
liège-bastogne-liège,True,40.851 km/h
tour-de-romandie,True,44.792 km/h
eschborn-frankfurt,True,42.155 km/h
giro-d-italia,True,43.647 km/h
dauphine,True,37.344 km/h
tour-de-suisse,True,28.204 km/h
tour-de-france,True,44.521 km/h
san-sebastian,True,40.901 km/h
tour-de-pologne,True,46.303 km/h
cyclassics-hamburg,True,48.449 km/h
renewi-tour,True,44.889 km/h
vuelta-a-espana,True,55.768 km/h
bretagne-classic,True,42.177 km/h
gp-quebec,True,42.353 km/h
gp-montréal,True,38.221 km/h
il-lombardia,True,41.922 km/h
tour-of-guangxi,True,46.872 km/h
